type	title	r2Key	officialPreviewUrl
PDF	DOE-UAP-D004, Los Alamos Conference on Aerial Phenomena, 1949	release-04/thumbnails/DOE-UAP-D004_Los-Alamos-Conference-on-Aerial-Phenomena_1949.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOE-UAP-D004_Los-Alamos-Conference-on-Aerial-Phenomena_1949.jpg
PDF	DOW-UAP-D094, Analysis of Flying Object Incidents in the United States, 1949	release-04/thumbnails/DOW-UAP-D094_Analysis-of-Flying-Object-Incidents-in-the-US_1949.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOW-UAP-D094_Analysis-of-Flying-Object-Incidents-in-the-US_1949.jpg
PDF	DOW-UAP-D097, Project Sign Progress Report, 1948	release-04/thumbnails/DOW-UAP-D097_Project-Sign-Progress-Report_1948.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOW-UAP-D097_Project-Sign-Progress-Report_1948.jpg
IMG	NASA-UAP-D030, STS-80 Unidentified Object Image 1, 1996	release-04/documents/NASA-UAP-D030_STS-80-Unidentified-Object-Image1_1996.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/NASA-UAP-D030_STS-80-Unidentified-Object-Image1_1996.jpg
IMG	NASA-UAP-D031, STS-80 Unidentified Object Image 2, 1996	release-04/documents/NASA-UAP-D031_STS-80-Unidentified-Object-Image2_1996.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/NASA-UAP-D031_STS-80-Unidentified-Object-Image2_1996.jpg
IMG	NASA-UAP-D032, STS-80 Unidentified Object Image 3, 1996	release-04/documents/NASA-UAP-D032_STS-80-Unidentified-Object-Image3_1996.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/NASA-UAP-D032_STS-80-Unidentified-Object-Image3_1996.jpg
PDF	DOE-UAP-D005, Pantex Unidentified Object Incident Report, 2015	release-04/thumbnails/DOE-UAP-D005_Pantex-Unidentified-Object-Incident-Report_2015.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOE-UAP-D005_Pantex-Unidentified-Object-Incident-Report_2015.jpg
PDF	DOW-UAP-D089, Range Fouler Debrief, Eastern United States, 2020	release-04/thumbnails/DOW-UAP-D089_Range-Fouler-Debrief_Eastern-US_2020.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOW-UAP-D089_Range-Fouler-Debrief_Eastern-US_2020.jpg
PDF	DOW-UAP-D090, Range Fouler Debrief, Eastern United States, 2019	release-04/thumbnails/DOW-UAP-D090_Range-Fouler-Debrief_Eastern-US_2019.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOW-UAP-D090_Range-Fouler-Debrief_Eastern-US_2019.jpg
PDF	DOW-UAP-D091, Range Fouler Debrief, Atlantic Ocean, 2020	release-04/thumbnails/DOW-UAP-D091_Range-Fouler-Debrief_Atlantic-Ocean_2020.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOW-UAP-D091_Range-Fouler-Debrief_Atlantic-Ocean_2020.jpg
PDF	DOW-UAP-D092, Department of the Air Force Committee to Review Project Bluebook, 1966-1967	release-04/thumbnails/DOW-UAP-D092_Department-of-the-Air-Force-Committee-to-Review-Project-Bluebook_1966-1967.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOW-UAP-D092_Department-of-the-Air-Force-Committee-to-Review-Project-Bluebook_1966-1967.jpg
PDF	DOW-UAP-D093, Analysis of Flying Object Incidents in the United States, 1948	release-04/thumbnails/DOW-UAP-D093_Analysis-of-Flying-Object-Incidents-in-the-US_1948.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOW-UAP-D093_Analysis-of-Flying-Object-Incidents-in-the-US_1948.jpg
PDF	DOW-UAP-D095, Joint U.S.-Canadian Aviation Projects and UFO Sighting Reports, 1954-1955	release-04/thumbnails/DOW-UAP-D095_Joint-US-Canadian-Aviation-Projects-and-UFO-Sighting-Reports_1954-1955.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOW-UAP-D095_Joint-US-Canadian-Aviation-Projects-and-UFO-Sighting-Reports_1954-1955.jpg
PDF	DOW-UAP-D096, Correspondence Relating to Project Blue Book, 1955	release-04/thumbnails/DOW-UAP-D096_Correspondence-Relating-to-Project-Blue-Book_1955.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/DOW-UAP-D096_Correspondence-Relating-to-Project-Blue-Book_1955.jpg
PDF	FBI-UAP-D014, Correspondence Relating to UFO Sightings, 1967, 1974	release-04/thumbnails/FBI-UAP-D014_Correspondence-Relating-to-UFO-Sightings_1967-1974.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/FBI-UAP-D014_Correspondence-Relating-to-UFO-Sightings_1967-1974.jpg
PDF	CIA-UAP-D020, Memorandum on Unconventional Aircraft Sightings, 1955	release-04/thumbnails/CIA-UAP-D020_Memorandum-on-Unconventional-Aircraft-Sightings_1955.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/CIA-UAP-D020_Memorandum-on-Unconventional-Aircraft-Sightings_1955.jpg
PDF	CIA-UAP-D021, Analysis of Unconventional Aircraft Sightings, 1955	release-04/thumbnails/CIA-UAP-D021_Analysis-of-Unconventional-Aircraft-Sightings_1955.jpg	https://www.war.gov/medialink/ufo/071026/release_04/thumbnails/CIA-UAP-D021_Analysis-of-Unconventional-Aircraft-Sightings_1955.jpg
